DATUM,HEMMA,BORTA,HS,-,VS,DEC,PERIOD,ARENA,ATT
2017-09-30,Mora,Färjestad,2,-,5,Reg,"0-0, 1-3, 1-2",Jalas Arena,4413
2017-09-30,Luleå,Linköping,3,-,4,OT,"2-1, 1-0, 0-2, 0-1",Coop Norrbotten Arena,5170
2017-09-30,Djurgården,Skellefteå,4,-,2,Reg,"2-1, 0-1, 2-0",Hovet,6957
2017-09-30,Örebro,Brynäs,1,-,2,Reg,"1-0, 0-0, 0-2",Behrn Arena,5500
2017-09-30,Rögle,Malmö,8,-,7,OT,"3-1, 2-2, 2-4, 1-0",Lindab Arena,4836
2017-09-28,Skellefteå,Växjö,0,-,1,Reg,"0-1, 0-0, 0-0",Skellefteå Kraft Arena,4317
2017-09-28,Brynäs,Djurgården,1,-,3,Reg,"0-0, 0-1, 1-2",Gavlerinken Arena,4582
2017-09-28,Luleå,HV71,0,-,3,Reg,"0-0, 0-1, 0-2",Coop Norrbotten Arena,4019
2017-09-28,Karlskrona,Linköping,4,-,2,Reg,"2-1, 1-0, 1-1",NKT Arena Karlskrona,3003
2017-09-26,Linköping,Luleå,2,-,3,OT,"1-1, 1-0, 0-1, 0-1",Saab Arena,4566
2017-09-26,HV71,Karlskrona,3,-,2,SO,"1-0, 0-2, 1-0, 0-0, 1-0",Kinnarps Arena,5824
2017-09-23,Färjestad,Frölunda,7,-,4,Reg,"3-2, 2-0, 2-2",Löfbergs Arena,8500
2017-09-23,Luleå,Djurgården,2,-,1,SO,"0-0, 0-0, 1-1, 0-0, 1-0",Coop Norrbotten Arena,4658
2017-09-23,Karlskrona,Mora,3,-,0,Reg,"0-0, 2-0, 1-0",NKT Arena Karlskrona,3359
2017-09-23,Malmö,Brynäs,5,-,1,Reg,"1-1, 3-0, 1-0",Malmö Arena,5955
2017-09-23,Rögle,Skellefteå,2,-,7,Reg,"0-4, 1-2, 1-1",Lindab Arena,3953
2017-09-23,Växjö,Örebro,2,-,1,Reg,"1-0, 1-1, 0-0",Vida Arena,4072
2017-09-23,HV71,Linköping,0,-,2,Reg,"0-1, 0-0, 0-1",Kinnarps Arena,6063
2017-09-21,Skellefteå,Färjestad,2,-,5,Reg,"0-1, 2-2, 0-2",Skellefteå Kraft Arena,4203
2017-09-21,Brynäs,HV71,2,-,4,Reg,"1-1, 0-0, 1-3",Gavlerinken Arena,5523
2017-09-21,Mora,Rögle,5,-,1,Reg,"2-0, 2-0, 1-1",Jalas Arena,4011
2017-09-21,Örebro,Luleå,2,-,0,Reg,"0-0, 2-0, 0-0",Behrn Arena,4942
2017-09-21,Djurgården,Malmö,4,-,3,OT,"1-1, 1-1, 1-1, 1-0",Hovet,6728
2017-09-21,Linköping,Växjö,4,-,5,OT,"2-1, 2-1, 0-2, 0-1",Saab Arena,5248
2017-09-21,Frölunda,Karlskrona,3,-,0,Reg,"2-0, 1-0, 0-0",Scandinavium,7865
2017-09-19,Karlskrona,Skellefteå,1,-,2,Reg,"1-0, 0-0, 0-2",NKT Arena Karlskrona,3943
2017-09-19,Växjö,Brynäs,4,-,3,SO,"1-2, 2-0, 0-1, 0-0, 1-0",Vida Arena,4755
2017-09-16,Frölunda,Mora,3,-,2,OT,"0-0, 0-1, 2-1, 1-0",Scandinavium,11026
2017-09-16,Luleå,Örebro,4,-,3,SO,"2-0, 1-2, 0-1, 0-0, 1-0",Coop Norrbotten Arena,5617
2017-09-16,HV71,Djurgården,4,-,2,Reg,"1-0, 1-1, 2-1",Kinnarps Arena,6607
2017-09-16,Färjestad,Linköping,3,-,2,SO,"2-0, 0-0, 0-2, 0-0, 1-0",Löfbergs Arena,6678
2017-09-16,Malmö,Rögle,5,-,0,Reg,"1-0, 1-0, 3-0",Malmö Arena,9268
